"Kod";"Nazwa";"rynek pierwotny;ogółem;2010;[szt.]";"rynek pierwotny;ogółem;2011;[szt.]";"rynek pierwotny;ogółem;2012;[szt.]";"rynek pierwotny;ogółem;2013;[szt.]";"rynek pierwotny;ogółem;2014;[szt.]";"rynek pierwotny;ogółem;2015;[szt.]";"rynek pierwotny;ogółem;2016;[szt.]";"rynek pierwotny;ogółem;2017;[szt.]";"rynek pierwotny;ogółem;2018;[szt.]";"rynek pierwotny;ogółem;2019;[szt.]";"rynek pierwotny;ogółem;2020;[szt.]";"rynek pierwotny;ogółem;2021;[szt.]";"rynek pierwotny;ogółem;2022;[szt.]";"rynek pierwotny;ogółem;2023;[szt.]";"rynek pierwotny;ogółem;2024;[szt.]";
0000000;"POLSKA";35289;34693;42954;51616;50789;57076;63595;67223;81221;79763;84729;101219;106862;110749;107302;
0200000;"DOLNOŚLĄSKIE";4521;4171;5231;7441;6879;6740;8596;8435;9408;8839;6347;14418;11710;12144;11556;
0201000;"Powiat bolesławiecki";0;0;0;23;8;7;43;5;68;63;105;165;184;164;154;
0202000;"Powiat dzierżoniowski";6;0;0;17;59;21;11;0;11;8;14;32;39;121;145;
0203000;"Powiat głogowski";70;70;128;143;147;87;100;68;199;80;25;139;63;115;76;
0204000;"Powiat górowski";0;0;0;0;0;0;0;5;0;0;3;6;8;0;6;
0205000;"Powiat jaworski";0;0;0;0;0;0;0;4;0;0;7;47;45;100;22;
0206000;"Powiat karkonoski";35;18;44;78;81;147;29;44;63;34;74;106;366;270;95;
0207000;"Powiat kamiennogórski";3;0;3;0;0;0;0;0;0;0;0;9;0;0;34;
0208000;"Powiat kłodzki";33;33;22;101;112;79;41;100;114;85;90;106;178;127;121;
0209000;"Powiat legnicki";0;0;7;0;11;15;0;0;10;0;5;24;34;83;28;
0210000;"Powiat lubański";0;18;6;9;46;5;5;41;16;14;0;0;220;52;59;
0211000;"Powiat lubiński";196;147;186;158;137;49;137;145;231;245;215;269;221;304;115;
0212000;"Powiat lwówecki";0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;
0213000;"Powiat milicki";37;0;41;3;9;28;38;7;8;10;86;39;82;125;25;
0214000;"Powiat oleśnicki";140;196;80;67;119;42;42;78;161;77;121;41;71;297;212;
0215000;"Powiat oławski";0;120;75;193;96;128;155;163;91;33;183;202;340;182;166;
0216000;"Powiat polkowicki";21;0;0;14;37;23;15;31;26;76;0;72;47;47;71;
0217000;"Powiat strzeliński";9;0;0;13;8;34;26;29;58;46;38;0;70;47;15;
0218000;"Powiat średzki";44;4;39;38;13;17;22;54;99;61;86;122;86;230;462;
0219000;"Powiat świdnicki";107;67;83;55;142;109;165;67;228;205;217;294;220;359;199;
0220000;"Powiat trzebnicki";0;32;145;75;143;67;47;69;115;52;88;183;260;151;57;
0221000;"Powiat wałbrzyski";7;13;3;20;4;5;6;13;14;32;12;19;3;0;27;
0222000;"Powiat wołowski";30;33;0;25;20;49;61;66;40;10;104;80;33;175;138;
0223000;"Powiat wrocławski";158;313;590;641;898;613;772;696;842;1098;1155;1408;1030;1411;1517;
0224000;"Powiat ząbkowicki";0;0;0;25;0;0;0;0;0;5;26;72;61;21;0;
0225000;"Powiat zgorzelecki";0;0;0;0;0;0;0;8;0;13;4;14;84;67;53;
0226000;"Powiat złotoryjski";0;0;0;0;0;0;7;0;0;0;4;30;22;18;9;
0261000;"Powiat m. Jelenia Góra";57;148;173;102;112;104;115;129;120;179;150;269;163;110;233;
0262000;"Powiat m. Legnica";180;125;155;80;42;77;114;118;277;202;226;203;167;264;112;
0264000;"Powiat m. Wrocław";3383;2828;3447;5557;4629;5029;6636;6480;6604;6198;3286;10411;7586;7246;7267;
0265000;"Powiat m. Wałbrzych od 2013";;;;0;3;4;7;5;8;11;20;52;26;53;134;
