"Kod";"Nazwa";"Transakcje rynkowe";"Powierzchnia użytkowa lokali mieszkalnych";"Rok";"Wartosc";"Jednostka miary";"Atrybut";
0000000;"POLSKA";"rynek pierwotny";"ogółem";"2010";309936;"zł";"";
0000000;"POLSKA";"rynek pierwotny";"ogółem";"2011";314723;"zł";"";
0000000;"POLSKA";"rynek pierwotny";"ogółem";"2012";304789;"zł";"";
0000000;"POLSKA";"rynek pierwotny";"ogółem";"2013";300364;"zł";"";
0000000;"POLSKA";"rynek pierwotny";"ogółem";"2014";300784;"zł";"";
0000000;"POLSKA";"rynek pierwotny";"ogółem";"2015";308526;"zł";"";
0000000;"POLSKA";"rynek pierwotny";"ogółem";"2016";309254;"zł";"";
0000000;"POLSKA";"rynek pierwotny";"ogółem";"2017";309927;"zł";"";
0000000;"POLSKA";"rynek pierwotny";"ogółem";"2018";311851;"zł";"";
0000000;"POLSKA";"rynek pierwotny";"ogółem";"2019";326555;"zł";"";
0000000;"POLSKA";"rynek pierwotny";"ogółem";"2020";352656;"zł";"";
0000000;"POLSKA";"rynek pierwotny";"ogółem";"2021";396948;"zł";"";
0000000;"POLSKA";"rynek pierwotny";"ogółem";"2022";426411;"zł";"";
0000000;"POLSKA";"rynek pierwotny";"ogółem";"2023";464296;"zł";"";
0000000;"POLSKA";"rynek pierwotny";"ogółem";"2024";536279;"zł";"";
0200000;"DOLNOŚLĄSKIE";"rynek pierwotny";"ogółem";"2010";312729;"zł";"";
0200000;"DOLNOŚLĄSKIE";"rynek pierwotny";"ogółem";"2011";319720;"zł";"";
0200000;"DOLNOŚLĄSKIE";"rynek pierwotny";"ogółem";"2012";300591;"zł";"";
0200000;"DOLNOŚLĄSKIE";"rynek pierwotny";"ogółem";"2013";316627;"zł";"";
0200000;"DOLNOŚLĄSKIE";"rynek pierwotny";"ogółem";"2014";294775;"zł";"";
0200000;"DOLNOŚLĄSKIE";"rynek pierwotny";"ogółem";"2015";300524;"zł";"";
0200000;"DOLNOŚLĄSKIE";"rynek pierwotny";"ogółem";"2016";304406;"zł";"";
0200000;"DOLNOŚLĄSKIE";"rynek pierwotny";"ogółem";"2017";307255;"zł";"";
0200000;"DOLNOŚLĄSKIE";"rynek pierwotny";"ogółem";"2018";319205;"zł";"";
0200000;"DOLNOŚLĄSKIE";"rynek pierwotny";"ogółem";"2019";326000;"zł";"";
0200000;"DOLNOŚLĄSKIE";"rynek pierwotny";"ogółem";"2020";336892;"zł";"";
0200000;"DOLNOŚLĄSKIE";"rynek pierwotny";"ogółem";"2021";411346;"zł";"";
0200000;"DOLNOŚLĄSKIE";"rynek pierwotny";"ogółem";"2022";454823;"zł";"";
0200000;"DOLNOŚLĄSKIE";"rynek pierwotny";"ogółem";"2023";494732;"zł";"";
0200000;"DOLNOŚLĄSKIE";"rynek pierwotny";"ogółem";"2024";588538;"zł";"";
0201000;"Powiat bolesławiecki";"rynek pierwotny";"ogółem";"2010";0;"zł";"";
0201000;"Powiat bolesławiecki";"rynek pierwotny";"ogółem";"2011";0;"zł";"";
0201000;"Powiat bolesławiecki";"rynek pierwotny";"ogółem";"2012";0;"zł";"";
0201000;"Powiat bolesławiecki";"rynek pierwotny";"ogółem";"2013";203906;"zł";"";
0201000;"Powiat bolesławiecki";"rynek pierwotny";"ogółem";"2014";146100;"zł";"";
0201000;"Powiat bolesławiecki";"rynek pierwotny";"ogółem";"2015";197069;"zł";"";
0201000;"Powiat bolesławiecki";"rynek pierwotny";"ogółem";"2016";215579;"zł";"";
0201000;"Powiat bolesławiecki";"rynek pierwotny";"ogółem";"2017";180600;"zł";"";
0201000;"Powiat bolesławiecki";"rynek pierwotny";"ogółem";"2018";225266;"zł";"";
0201000;"Powiat bolesławiecki";"rynek pierwotny";"ogółem";"2019";259905;"zł";"";
0201000;"Powiat bolesławiecki";"rynek pierwotny";"ogółem";"2020";262832;"zł";"";
0201000;"Powiat bolesławiecki";"rynek pierwotny";"ogółem";"2021";291966;"zł";"";
0201000;"Powiat bolesławiecki";"rynek pierwotny";"ogółem";"2022";286592;"zł";"";
0201000;"Powiat bolesławiecki";"rynek pierwotny";"ogółem";"2023";327723;"zł";"";
0201000;"Powiat bolesławiecki";"rynek pierwotny";"ogółem";"2024";393654;"zł";"";
0202000;"Powiat dzierżoniowski";"rynek pierwotny";"ogółem";"2010";124842;"zł";"";
0202000;"Powiat dzierżoniowski";"rynek pierwotny";"ogółem";"2011";0;"zł";"x";
0202000;"Powiat dzierżoniowski";"rynek pierwotny";"ogółem";"2012";0;"zł";"";
0202000;"Powiat dzierżoniowski";"rynek pierwotny";"ogółem";"2013";215156;"zł";"";
0202000;"Powiat dzierżoniowski";"rynek pierwotny";"ogółem";"2014";194009;"zł";"";
0202000;"Powiat dzierżoniowski";"rynek pierwotny";"ogółem";"2015";189234;"zł";"";
0202000;"Powiat dzierżoniowski";"rynek pierwotny";"ogółem";"2016";192919;"zł";"";
0202000;"Powiat dzierżoniowski";"rynek pierwotny";"ogółem";"2017";0;"zł";"x";
0202000;"Powiat dzierżoniowski";"rynek pierwotny";"ogółem";"2018";154228;"zł";"";
0202000;"Powiat dzierżoniowski";"rynek pierwotny";"ogółem";"2019";168218;"zł";"";
0202000;"Powiat dzierżoniowski";"rynek pierwotny";"ogółem";"2020";262688;"zł";"";
0202000;"Powiat dzierżoniowski";"rynek pierwotny";"ogółem";"2021";296484;"zł";"";
0202000;"Powiat dzierżoniowski";"rynek pierwotny";"ogółem";"2022";317792;"zł";"";
0202000;"Powiat dzierżoniowski";"rynek pierwotny";"ogółem";"2023";318383;"zł";"";
0202000;"Powiat dzierżoniowski";"rynek pierwotny";"ogółem";"2024";344489;"zł";"";
0203000;"Powiat głogowski";"rynek pierwotny";"ogółem";"2010";230642;"zł";"";
0203000;"Powiat głogowski";"rynek pierwotny";"ogółem";"2011";213100;"zł";"";
0203000;"Powiat głogowski";"rynek pierwotny";"ogółem";"2012";197581;"zł";"";
0203000;"Powiat głogowski";"rynek pierwotny";"ogółem";"2013";188701;"zł";"";
0203000;"Powiat głogowski";"rynek pierwotny";"ogółem";"2014";174571;"zł";"";
0203000;"Powiat głogowski";"rynek pierwotny";"ogółem";"2015";170408;"zł";"";
0203000;"Powiat głogowski";"rynek pierwotny";"ogółem";"2016";179711;"zł";"";
0203000;"Powiat głogowski";"rynek pierwotny";"ogółem";"2017";227008;"zł";"";
0203000;"Powiat głogowski";"rynek pierwotny";"ogółem";"2018";223613;"zł";"";
0203000;"Powiat głogowski";"rynek pierwotny";"ogółem";"2019";232410;"zł";"";
0203000;"Powiat głogowski";"rynek pierwotny";"ogółem";"2020";387422;"zł";"";
0203000;"Powiat głogowski";"rynek pierwotny";"ogółem";"2021";260542;"zł";"";
0203000;"Powiat głogowski";"rynek pierwotny";"ogółem";"2022";382664;"zł";"";
0203000;"Powiat głogowski";"rynek pierwotny";"ogółem";"2023";360208;"zł";"";
0203000;"Powiat głogowski";"rynek pierwotny";"ogółem";"2024";396558;"zł";"";
0204000;"Powiat górowski";"rynek pierwotny";"ogółem";"2010";0;"zł";"";
0204000;"Powiat górowski";"rynek pierwotny";"ogółem";"2011";0;"zł";"";
0204000;"Powiat górowski";"rynek pierwotny";"ogółem";"2012";0;"zł";"";
0204000;"Powiat górowski";"rynek pierwotny";"ogółem";"2013";0;"zł";"";
0204000;"Powiat górowski";"rynek pierwotny";"ogółem";"2014";0;"zł";"";
0204000;"Powiat górowski";"rynek pierwotny";"ogółem";"2015";0;"zł";"";
0204000;"Powiat górowski";"rynek pierwotny";"ogółem";"2016";0;"zł";"x";
0204000;"Powiat górowski";"rynek pierwotny";"ogółem";"2017";231200;"zł";"";
0204000;"Powiat górowski";"rynek pierwotny";"ogółem";"2018";0;"zł";"";
0204000;"Powiat górowski";"rynek pierwotny";"ogółem";"2019";0;"zł";"x";
0204000;"Powiat górowski";"rynek pierwotny";"ogółem";"2020";129933;"zł";"";
0204000;"Powiat górowski";"rynek pierwotny";"ogółem";"2021";171833;"zł";"";
0204000;"Powiat górowski";"rynek pierwotny";"ogółem";"2022";263125;"zł";"";
0204000;"Powiat górowski";"rynek pierwotny";"ogółem";"2023";0;"zł";"x";
0204000;"Powiat górowski";"rynek pierwotny";"ogółem";"2024";265667;"zł";"";
0205000;"Powiat jaworski";"rynek pierwotny";"ogółem";"2010";0;"zł";"";
0205000;"Powiat jaworski";"rynek pierwotny";"ogółem";"2011";0;"zł";"x";
0205000;"Powiat jaworski";"rynek pierwotny";"ogółem";"2012";0;"zł";"";
0205000;"Powiat jaworski";"rynek pierwotny";"ogółem";"2013";0;"zł";"";
0205000;"Powiat jaworski";"rynek pierwotny";"ogółem";"2014";0;"zł";"";
0205000;"Powiat jaworski";"rynek pierwotny";"ogółem";"2015";0;"zł";"";
0205000;"Powiat jaworski";"rynek pierwotny";"ogółem";"2016";0;"zł";"";
0205000;"Powiat jaworski";"rynek pierwotny";"ogółem";"2017";129150;"zł";"";
0205000;"Powiat jaworski";"rynek pierwotny";"ogółem";"2018";0;"zł";"x";
0205000;"Powiat jaworski";"rynek pierwotny";"ogółem";"2019";0;"zł";"x";
0205000;"Powiat jaworski";"rynek pierwotny";"ogółem";"2020";274143;"zł";"";
0205000;"Powiat jaworski";"rynek pierwotny";"ogółem";"2021";240872;"zł";"";
0205000;"Powiat jaworski";"rynek pierwotny";"ogółem";"2022";279553;"zł";"";
0205000;"Powiat jaworski";"rynek pierwotny";"ogółem";"2023";349286;"zł";"";
0205000;"Powiat jaworski";"rynek pierwotny";"ogółem";"2024";391166;"zł";"";
0206000;"Powiat karkonoski";"rynek pierwotny";"ogółem";"2010";329705;"zł";"";
0206000;"Powiat karkonoski";"rynek pierwotny";"ogółem";"2011";281977;"zł";"";
0206000;"Powiat karkonoski";"rynek pierwotny";"ogółem";"2012";325197;"zł";"";
0206000;"Powiat karkonoski";"rynek pierwotny";"ogółem";"2013";305685;"zł";"";
0206000;"Powiat karkonoski";"rynek pierwotny";"ogółem";"2014";292784;"zł";"";
